order_id,delivery_date,status
1,24-10-2024,Delivered
2,21-07-2024,Delivered
3,25-02-2025,Delivered
4,17-04-2024,Pending
5,18-02-2025,Delivered
6,23-11-2024,Delivered
7,22-10-2024,Delivered
8,30-11-2024,Delivered
9,03-02-2025,Delivered
10,21-06-2024,Delivered
11,27-10-2024,Pending
12,05-09-2024,Delivered
13,30-10-2024,Delivered
14,07-02-2025,Delivered
15,22-03-2025,Delivered
16,03-03-2025,Pending
17,11-01-2025,Delivered
18,13-11-2024,Delivered
19,31-01-2025,Delivered
20,26-02-2025,Pending
21,19-03-2025,Delivered
22,28-02-2025,Delivered
23,11-02-2025,Delivered
24,11-06-2024,Pending
25,01-02-2025,Delivered
26,13-11-2024,Delivered
27,11-12-2024,Delivered
28,31-12-2024,Delivered
29,30-12-2024,Delivered
30,15-02-2025,Delivered
31,30-08-2024,Delivered
32,14-10-2024,Delivered
33,11-03-2025,Cancelled
34,02-03-2025,Delivered
35,09-06-2024,Delivered
36,22-12-2024,Delivered
37,19-03-2025,Cancelled
38,04-07-2024,Delivered
39,11-03-2025,Pending
40,31-08-2024,Delivered
41,08-01-2025,Delivered
42,01-09-2024,Pending
43,10-07-2024,Delivered
44,20-11-2024,Delivered
45,05-10-2024,Delivered
46,01-03-2025,Delivered
47,26-02-2025,Delivered
48,24-02-2025,Delivered
49,28-06-2024,Pending
50,02-03-2025,Delivered
51,12-03-2025,Pending
52,14-01-2025,Cancelled
53,23-02-2025,Pending
54,05-03-2025,Delivered
55,21-12-2024,Delivered
56,14-07-2024,Delivered
57,27-08-2024,Delivered
58,12-12-2024,Delivered
59,08-11-2024,Delivered
60,16-03-2025,Delivered
61,23-08-2024,Delivered
62,15-12-2024,Delivered
63,03-02-2025,Delivered
64,31-07-2024,Cancelled
65,15-03-2025,Delivered
66,28-01-2025,Pending
67,17-02-2025,Delivered
68,01-11-2024,Pending
69,31-12-2024,Delivered
70,21-10-2024,Pending
71,14-08-2024,Delivered
72,28-01-2025,Delivered
73,27-06-2024,Pending
74,08-03-2025,Delivered
75,24-12-2024,Delivered
76,13-03-2025,Pending
77,20-03-2025,Delivered
78,24-09-2024,Delivered
79,12-03-2025,Delivered
80,21-11-2024,Pending
81,07-08-2024,Pending
82,19-11-2024,Delivered
83,22-03-2025,Delivered
84,15-02-2025,Delivered
85,09-02-2025,Pending
86,14-02-2025,Delivered
87,08-03-2025,Delivered
88,26-03-2025,Delivered
89,22-03-2025,Pending
90,12-03-2025,Delivered
91,07-03-2025,Delivered
92,20-06-2024,Pending
93,11-01-2025,Delivered
94,28-01-2025,Delivered
95,16-03-2025,Delivered
96,27-12-2024,Delivered
97,08-02-2025,Delivered
98,16-08-2024,Delivered
99,03-01-2025,Delivered
100,27-12-2024,Delivered
101,22-09-2024,Pending
102,06-12-2024,Delivered
103,27-02-2025,Delivered
104,04-07-2024,Cancelled
105,25-02-2025,Delivered
106,08-12-2024,Delivered
107,11-09-2024,Delivered
108,12-03-2025,Delivered
109,29-01-2025,Delivered
110,07-12-2024,Delivered
111,20-01-2025,Pending
112,06-02-2025,Delivered
113,20-12-2024,Delivered
114,04-02-2025,Pending
115,17-02-2025,Delivered
116,08-01-2025,Delivered
117,14-11-2024,Delivered
118,22-01-2025,Delivered
119,28-02-2025,Delivered
120,13-03-2025,Delivered
121,14-03-2025,Delivered
122,13-03-2025,Delivered
123,07-10-2024,Delivered
124,25-08-2024,Delivered
125,30-11-2024,Delivered
126,03-03-2025,Delivered
127,25-12-2024,Delivered
128,25-03-2025,Delivered
129,26-02-2025,Delivered
130,12-10-2024,Delivered
131,14-03-2025,Delivered
132,02-03-2025,Delivered
133,16-02-2025,Delivered
134,13-03-2025,Delivered
135,17-12-2024,Delivered
136,02-01-2025,Delivered
137,11-03-2025,Delivered
138,16-10-2024,Delivered
139,25-02-2025,Pending
140,18-03-2025,Pending
141,12-03-2025,Delivered
142,06-03-2025,Delivered
143,11-01-2025,Delivered
144,29-11-2024,Delivered
145,15-03-2025,Delivered
146,13-03-2025,Delivered
147,25-10-2024,Delivered
148,10-09-2024,Pending
149,29-12-2024,Pending
150,15-10-2024,Delivered
151,10-03-2025,Delivered
152,07-12-2024,Delivered
153,21-12-2024,Delivered
154,11-11-2024,Pending
155,01-03-2025,Pending
156,24-02-2025,Pending
157,19-12-2024,Delivered
158,05-03-2025,Delivered
159,08-11-2024,Delivered
160,03-09-2024,Delivered
